Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
American Standard	American Standard	AccuComfort Platinum 18	8761165	4A6V8036A1	*UD2C080ACV4 & 4TXCC005DS3	HRCU-A-CB	10.00	18.00	12.50	35200	Yes	Centrally Ducted	N/A	N/A		8400	32000	32200	0.51	2.34	2.46	4.82	4.01	3.84		16150	26200	26300	1.83	2.34	3.30	2.58	3.28	2.34		17094		20400	2.62		3.14	1.92		1.90		63%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761167	4A6V8036A1	*UD2C100ACV5 & 4TXCC005DS3	HRCU-A-CB	10.00	18.00	12.50	35000	Yes	Centrally Ducted	N/A	N/A		8300	31800	32100	0.50	2.34	2.46	4.86	3.98	3.82		16040	26000	26200	1.83	2.34	3.29	2.56	3.26	2.34		16934		20300	2.60		3.14	1.90		1.90		63%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8761170	4A6V8036A1	*UD2B100ACV3 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	36200	Yes	Centrally Ducted	N/A	N/A		8400	33000	33000	0.51	2.42	2.42	4.82	4.00	4.00		16590	26800	26900	1.86	2.42	3.27	2.62	3.24	2.42		17640		21000	2.66		3.16	1.94		1.95		64%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761171	4A6V8036A1	*UD2C080ACV4 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	36400	Yes	Centrally Ducted	N/A	N/A		8400	32600	32800	0.51	2.44	2.35	4.82	3.91	4.08		16150	26400	26500	1.80	2.44	3.18	2.62	3.17	2.44		16994		20400	2.56		3.04	1.94		1.95		62%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8761172	4A6V8036A1	*UHMB080ACV3 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	36200	Yes	Centrally Ducted	N/A	N/A		8500	33000	33100	0.56	2.40	2.44	4.44	4.03	3.98		16700	26800	26900	1.89	2.40	3.28	2.58	3.27	2.40		17640		21040	2.68		3.16	1.92		1.95		64%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761173	4A6V8036A1	*UD2C100ACV5 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	36200	Yes	Centrally Ducted	N/A	N/A		8400	32600	32800	0.51	2.44	2.35	4.82	3.91	4.08		16040	26200	26400	1.79	2.44	3.17	2.62	3.15	2.44		16894		20300	2.56		3.04	1.94		1.95		62%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8761175	4A6V8036A1	*UHMC100ACV4 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	36400	Yes	Centrally Ducted	N/A	N/A		8400	32800	32900	0.53	2.46	2.35	4.64	3.91	4.10		16370	26600	26700	1.81	2.46	3.18	2.64	3.17	2.46		17194		20600	2.56		3.04	1.96		2.00		63%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8761183	4A6V8037A1	*UD2B080ACV3 & 4TXCB006DS3	HRCU-A-CB	10.00	18.00	12.50	36600	Yes	Centrally Ducted	N/A	N/A		8500	33200	33500	0.53	2.36	2.48	4.70	4.12	3.96		16370	26800	27000	1.91	2.36	3.34	2.52	3.33	2.36		17340		20760	2.72		3.22	1.86		1.90		62%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8761190	4A6V8037A1	*UHMC100ACV4 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	36800	Yes	Centrally Ducted	N/A	N/A		8500	33200	33400	0.55	2.44	2.41	4.52	3.99	4.06		16040	26800	26900	1.85	2.44	3.24	2.54	3.22	2.44		16894		20420	2.62		3.10	1.88		1.95		61%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	8761191	4A6V8037A1	*UD2C100ACV5 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	37000	Yes	Centrally Ducted	N/A	N/A		8400	33200	33300	0.51	2.44	2.37	4.82	3.99	4.12		15710	26600	26600	1.81	2.44	3.20	2.54	3.19	2.44		16488		20080	2.58		3.06	1.88		1.90		60%	75%																					
American Standard	American Standard	AccuComfort Platinum 18	8761192	4A6V8037A1	*UD2C080ACV4 & 4TXCC007DS3	HRCU-A-CB	10.00	18.00	12.50	36800	Yes	Centrally Ducted	N/A	N/A		8500	33200	33300	0.52	2.42	2.41	4.78	4.02	4.04		15930	26600	26700	1.84	2.42	3.24	2.54	3.22	2.42		16688		20220	2.62		3.10	1.86		1.90		61%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	8761198	4A6V8048A1	*UD2D120ACV5 & 4TXCC009DS3	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12400	43500	44700	0.82	2.36	3.56	4.44	5.40	3.68		23400	36600	37600	2.64	2.36	4.67	2.60	4.54	2.36		24496		29200	3.72		4.44	1.92		1.95		65%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761199	4A6V8048A1	*UD2C080ACV4 & 4TXCC009DS3	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12400	43500	44700	0.83	2.34	3.59	4.38	5.45	3.64		23180	36400	37400	2.65	2.34	4.70	2.56	4.56	2.34		24250		28900	3.72		4.46	1.90		1.90		65%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8761201	4A6V8048A1	*UHMC100ACV4 & 4TXCC009DS3	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12400	43500	44800	0.85	2.36	3.57	4.28	5.40	3.68		23400	36600	37500	2.66	2.36	4.67	2.58	4.54	2.36		24456		29140	3.72		4.44	1.92		1.90		65%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761202	4A6V8048A1	*UD2C100ACV5 & 4TXCC009DS3	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12300	43500	44600	0.82	2.38	3.51	4.40	5.36	3.72		23290	36600	37400	2.61	2.38	4.62	2.62	4.51	2.38		24456		29140	3.66		4.38	1.96		1.95		65%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761205	4A6V8048A1	*UD2D120ACV5 & 4TXCD010DS3	HRCU-A-CB	10.00	18.00	12.50	48000	Yes	Centrally Ducted	N/A	N/A		12300	44000	44600	0.78	2.40	3.40	4.62	5.37	3.84		23510	37000	37400	2.56	2.40	4.56	2.70	4.52	2.40		24696		29340	3.62		4.34	2.00		2.00		66%	78%																					
American Standard	American Standard	AccuComfort Platinum 20	8935197	4A6V0024A1	*DD2B060ACV3 & 4PXCBD36BS3	HRCU-A-CB	10.00	19.25	13.50	24400	Yes	Centrally Ducted	N/A	N/A		8100	22200	22000	0.53	2.54	1.57	4.48	2.56	4.10		11540	17200	17100	1.22	2.54	1.98	2.78	1.98	2.54		11176		13020	1.62		1.90	2.02		2.00		59%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	8935198	4A6V0024A1	*DHMB060BCV3 & 4PXCBD36BS3	HRCU-A-CB	10.00	19.00	13.00	"24,400"	Yes	Centrally Ducted	N/A	N/A		8100	22200	22100	0.53	2.50	1.60	4.48	2.60	4.04		11650	17400	17300	1.23	2.50	2.02	2.78	2.04	2.50		11276		13220	1.64		1.92	2.02		2.00		60%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	8935199	4A6V0024A1	*UD2B060ACV3 & 4TXCB004DS3	HRCU-A-CB	10.00	19.00	13.50	24200	Yes	Centrally Ducted	N/A	N/A		7800	21200	21200	0.51	2.52	1.54	4.48	2.46	4.04		11650	16800	16700	1.20	2.52	1.94	2.84	1.95	2.52		11416		13200	1.60		1.86	2.10		2.10		62%	79%																					
American Standard	American Standard	AccuComfort Platinum 18	9119381	4A6V8024A1	*DHMB060BCV3 & 4PXCBD36BS3	HRCU-A-CB	10.00	18.00	12.50	24000	Yes	Centrally Ducted	N/A	N/A		8100	22200	22100	0.53	2.50	1.60	4.48	2.60	4.04		11650	17400	17300	1.23	2.50	2.02	2.78	2.04	2.50		11276		13220	1.64		1.92	2.02		2.00		60%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	9122524	4A6V8024A1	*DD2B060ACV3 & 4PXCBD36BS3	HRCU-A-CB	10.00	18.00	12.50	24000	Yes	Centrally Ducted	N/A	N/A		8100	22200	22000	0.53	2.54	1.57	4.48	2.56	4.10		11540	17200	17100	1.22	2.54	1.98	2.78	1.98	2.54		11176		13020	1.62		1.90	2.02		2.00		59%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	9122736	4A6V0024A1	*UHMB060ACV3 & 4PXCBU42BS3	HRCU-A-CB	10.00	18.00	13.00	"24,600"	Yes	Centrally Ducted	N/A	N/A		8200	22200	22100	0.57	2.56	1.58	4.22	2.54	4.10		12090	17300	17300	1.25	2.56	1.98	2.84	1.98	2.56		11782		13600	1.66		1.90	2.08		2.10		62%	79%																					
American Standard	American Standard	AccuComfort Platinum 20	6749789	4A6V0024A1	*AM8C0B30V21	HRCU-A-CB	10	19.25	13.75	"24,200"	Yes	Centrally Ducted	N/A	N/A		"7,800"	"20,200"	"21,900"	0.50	1.64	1.56	4.58	3.61	4.12		"11,430"	"16,800"	"16,800"	1.18	1.97	1.91	2.84	2.50	2.58		"11,176"		"13,000"	1.58		1.84	2.08		2.08		59%	77%		N/A				N/A															
American Standard	American Standard	AccuComfort Platinum 20	6992577	4A6V0036A1	*AM8C0B30V21	HRCU-A-CB	10	20	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.64		3.16	1.86		1.86		59%	76%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	7599436	4A6V0036A1	*AM8C0C48V41	HRCU-A-CB	10	20.75	13.5	"36,000"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"33,800"	"32,800"	0.50	2.83	2.38	4.92	3.50	4.04		"15,820"	"25,400"	"25,700"	1.78	3.10	3.12	2.60	2.40	2.42		"16,548"		"19,800"	2.54		3.00	1.90		1.94		60%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	7125570	4A6V0036A1	*UHMB060ACV3 4TXCB004CC3	HRCU-A-CB	10	18.5	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,500"	"31,000"	"33,500"	0.55	2.93	2.73	4.52	3.10	3.60		"16,150"	"26,000"	"26,300"	1.98	3.46	3.51	2.38	2.20	2.20		"16,934"		"20,300"	2.82		3.36	1.76		1.78		61%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	6796524	4A6V0036A1	*UD2C080ACV4 4TXCC007CC3	HRCU-A-CB	10	20	13	"34,600"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.35	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		60%	76%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	6796526	4A6V0036A1	*UD2C100ACV5 4TXCC007CC3	HRCU-A-CB	10	20	13	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.59	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		60%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	7125572	4A6V0036A1	*DHMB060BCV3 4TXFH036CZ3	HRCU-A-CB	10	19.5	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"30,800"	"33,200"	0.52	2.82	2.65	4.68	3.20	3.68		"16,150"	"25,800"	"26,100"	1.94	3.44	3.41	2.44	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		61%	78%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	6796528	4A6V0036A1	*UD2C080ACV4 4TXFH036CZ3	HRCU-A-CB	10	20	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.51	4.74	3.20	3.78		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		61%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	7125571	4A6V0036A1	*UHMB060ACV3 4TXFH036CZ3	HRCU-A-CB	10	18.75	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"30,400"	"32,700"	0.56	2.87	2.68	4.34	3.10	3.58		"15,930"	"25,600"	"25,900"	1.96	3.41	3.45	2.38	2.20	2.20		"16,788"		"20,040"	2.78		3.32	1.76		1.76		61%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	6749791	4A6V0048A1	*AM8C0C48V41	HRCU-A-CB	10	19.25	12.5	"47,000"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"42,500"	"42,600"	0.74	4.15	3.65	4.68	3.00	3.42		"21,530"	"34,000"	"34,400"	2.61	4.74	4.66	2.42	2.10	2.16		"22,446"		"26,720"	3.72		4.44	1.76		1.76		63%	78%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 20	7161151	4A6V0048A1	*AM8C0C60V51	HRCU-A-CB	10	19.25	12.5	"46,500"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"43,000"	"43,100"	0.74	3.94	3.53	4.68	3.20	3.58		"21,640"	"34,200"	"34,700"	2.56	4.55	4.54	2.48	2.20	2.24		"22,486"		"26,780"	3.64		4.34	1.80		1.80		62%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6750455	4A6V8024A1	*AM8C0B30V21	HRCU-A-CB	10	18	13	"23,800"	Yes	Centrally Ducted	N/A	N/A		"7,800"	"20,000"	"21,900"	0.50	1.63	1.56	4.58	3.60	4.12		"11,430"	"16,800"	"16,800"	1.18	1.97	1.91	2.84	2.50	2.58		"11,176"		"13,000"	1.58		1.84	2.08		2.08		59%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6750232	4A6V8036A1	*AM8C0C36V31	HRCU-A-CB	10	18	13	"35,000"	Yes	Centrally Ducted	N/A	N/A		"8,200"	"32,200"	"32,200"	0.47	3.04	2.60	5.12	3.10	3.62		"15,710"	"25,200"	"25,400"	1.85	3.36	3.33	2.48	2.20	2.24		"16,488"		"19,680"	2.66		3.18	1.82		1.82		61%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	7035709	4A6V8036A1	*DD2C100ACV5 4NXCC005AS3	HRCU-A-CB	10	18	12.5	"35,800"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"31,600"	"32,600"	0.50	2.99	2.54	4.92	3.10	3.76		"16,040"	"26,200"	"26,300"	1.89	3.49	3.42	2.48	2.20	2.26		"16,828"		"20,200"	2.70		3.26	1.82		1.82		62%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6796559	4A6V8037A1	*AM8C0B30V21	HRCU-A-CB	10	18	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.66		3.16	1.84		1.86		59%	76%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6796560	4A6V8037A1	*UD2B080ACV3 4TXCB004CC3	HRCU-A-CB	10	18	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"32,000"	"33,300"	0.50	3.02	2.68	4.86	3.10	3.64		"16,040"	"25,800"	"26,100"	1.95	3.44	3.46	2.42	2.20	2.22		"16,934"		"20,240"	2.80		3.32	1.78		1.78		61%	78%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6796562	4A6V8037A1	*UD2C080ACV4 4TXCC007CC3	HRCU-A-CB	10	18	13	"34,600"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.36	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		60%	76%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6796563	4A6V8037A1	*UD2C100ACV5 4TXCC007CC3	HRCU-A-CB	10	18	13	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.60	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		60%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	7125581	4A6V8037A1	*DHMB060BCV3 4TXFH036CZ3	HRCU-A-CB	10	18	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"31,800"	"33,200"	0.52	2.91	2.66	4.68	3.20	3.66		"16,150"	"25,800"	"26,100"	1.95	3.44	3.41	2.42	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		61%	78%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6796565	4A6V8037A1	*UD2C080ACV4 4TXFH036CZ3	HRCU-A-CB	10	18	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.52	4.74	3.20	3.76		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		61%	77%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6750233	4A6V8048A1	*AM8C0C48V41	HRCU-A-CB	10	18	12.5	"47,000"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"41,000"	"43,000"	0.74	3.88	3.64	4.68	3.10	3.46		"21,860"	"34,400"	"34,800"	2.57	4.58	4.61	2.50	2.20	2.22		"22,792"		"27,080"	3.66		4.38	1.82		1.82		63%	78%		N/A				N/A		z													
American Standard	American Standard	AccuComfort Platinum 18	6750457	4A6V8049A1	*AM8C0C48V41	HRCU-A-CB	10	18	12.5	"47,000"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"41,500"	"42,600"	0.74	4.05	3.65	4.68	3.00	3.42		"21,530"	"34,000"	"34,400"	2.61	4.74	4.66	2.42	2.10	2.16		"22,446"		"26,720"	3.72		4.44	1.76		1.76		63%	78%		N/A				N/A		z													
American Standard	American Standard		7151530	4TXK2709A10N0AA	4MXW2709A10N0AA	HRCU-A-CB-O	10	27	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,200"	"9,800"	"11,000"	0.10	0.65	1.25	6.45	4.42	2.58		"1,989"	"5,800"	"10,631"	0.12	0.63	1.26	4.86	2.71	2.47		"1,480"		"8,000"	0.15		1.10	2.89		2.14		73%	75%		Integrated  	72W	Heater on below 34°F		N/A		z													
American Standard	American Standard		7151532	4TXK2712A10NAA	4MXW2712A10N0AA	HRCU-A-CB-O	10	25	13	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,400"	"13,000"	"14,000"	0.10	0.96	1.35	7.03	3.97	3.04		"2,200"	"8,000"	"8,700"	0.09	0.75	1.01	7.16	3.13	2.52		"2,100"		"8,300"	0.09		1.13	7.24		2.15		59%	95%		Integrated  	72W	Heater on below 34°F		N/A		z													
American Standard	American Standard		7151534	4TXK2718A10N0AA	4MXW2718A10N0AA	HRCU-A-CB-O	10	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,412"	"19,000"	"23,202"	0.40	1.58	2.50	2.50	3.52	2.72		"2,729"	"12,100"	"19,674"	0.41	1.26	2.57	1.95	2.81	2.24		"2,388"		"15,400"	0.42		2.29	1.67		1.97		66%	78%		Integrated  	160W	Heater on below 34°F		N/A															
American Standard	American Standard		9150126	4TXK3818A10NUAA	4MXW3818A10NUAA	HRCU-A-CB-O	12	24.5	13.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,700"	"18,000"	"24,400"	0.35	1.50	2.50	3.10	3.52	2.86		"3,070"	"14,200"	"23,100"	0.36	1.46	3.25	2.50	2.86	2.08		"2,388"		"20,634"	0.37		3.30	1.89		1.83		85%	89%		Integrated  	160W	Heater on below 34°F		N/A															
American Standard	American Standard		9150128	4TXK3824A10NUAA	4MXW3824A10NUAA	HRCU-A-CB-O	12	21.5	13	"22,000"	Yes	Ductless	Single-zone	Mini-Splits		"6,800"	"24,000"	"32,400"	0.38	2.00	3.70	5.24	3.52	2.57		"3,396"	"15,500"	"26,263"	0.34	1.57	3.38	2.89	2.89	2.28		"2,887"		"24,233"	0.33		3.18	2.56		2.24		75%	92%		Integrated  	160W	Heater on below 34°F		N/A															
American Standard	American Standard		9150124	4TXK3812A10NUAA	4MXW3812A10NUAA	HRCU-A-CB-O	14	30.5	15.3	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,000"	"12,200"	"18,700"	0.25	0.94	1.60	3.52	3.80	3.43		"2,800"	"8,100"	"9,000"	0.23	0.74	1.00	3.57	3.21	2.64		"2,600"		"8,000"	0.22		0.86	3.46		2.73		43%	89%		Integrated  	72W	Heater on below 34°F		N/A															
American Standard	American Standard		9150122	4TXK3809A10NUAA	4MXW3809A10NUAA	HRCU-A-CB-O	15	38	16.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		2300	9000	13600	0.2	0.59	1.5	3.37	4.47	2.66		3545	5600	14611	0.37	0.75	1.78	2.85	2.20	2.40		1745		12210	0.28		1.72	1.83		2.08		90%	84%		Integrated  	72W	Heater on below 34°F		N/A															
Bosch	Bosch	Bosch Climate 5000 ductless minisplit series	9966844	BMS500-AAS024-1CSXXA	BMS500-AAU024-1AHXXA	HRCU-A-CB-O	10	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,200"	"25,000"	"29,140"	0.36	2.46	2.60	5.86	2.98	3.28		"5,690"	"16,000"	"18,650"	0.49	1.91	2.48	3.43	2.46	2.21		"5,122"		"15,815"	0.47		2.64	3.19		1.76		54%	85%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
Bosch	Bosch	Bosch Climate 5000 ductless minisplit series	9966838	BMS500-AAS009-1CSXXA	BMS500-AAU009-1AHXXA	HRCU-A-CB-O	10	20.5	14	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,530"	"9,800"	"13,080"	0.16	0.90	1.08	6.43	3.20	3.57		"2,610"	"6,300"	"8,111"	0.17	0.69	1.02	4.45	2.68	2.34		"2,489"		"6,609"	0.16		1.01	4.59		1.92		51%	81%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
Bosch	Bosch	Bosch Climate 5000 ductless minisplit series	9966839	BMS500-AAS012-0CSXXA	BMS500-AAU012-0AHXXA	HRCU-A-CB-O	10	20.9	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,680"	"12,000"	"12,450"	0.172	1.16	1.049	6.27	3.04	3.48		"2,958"	"7,500"	"7,360"	0.182	0.87	0.91	4.76	2.54	2.37		"2,582"		"5,736"	0.180		0.83	4.20		2.02		46%	78%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
Bosch	Bosch	Bosch Climate 5000 ductless minisplit series	9966843	BMS500-AAS018-1CSXXA	BMS500-AAU018-1AHXXA	HRCU-A-CB-O	10	22	13	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,670"	"18,000"	"19,190"	0.23	1.67	1.67	5.92	3.16	3.36		"3,920"	"11,100"	"13,730"	0.26	1.18	1.62	4.38	2.76	2.49		"3,274"		"12,524"	0.25		2.09	3.82		1.76		65%	91%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
Bosch	Bosch	Bosch Climate 5000 ductless minisplit series	9966837	BMS500-AAS009-0CSXXA	BMS500-AAU009-0AHXXA	HRCU-A-CB-O	10.5	22	14	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,580"	"9,800"	"12,490"	0.16	0.89	1.05	6.48	3.22	3.50		"2,860"	"5,800"	"7,868"	0.18	0.63	0.96	4.79	2.72	2.40		"2,513"		"6,516"	0.16		0.93	4.49		2.05		52%	83%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
Bryant	Bryant	Evolution Series	9893463	280ANV024000	"FE4AN(B,F)003"	HRCU-A-CB	10.5	19.5	15	"24,400"	Yes	Centrally Ducted	N/A	N/A		"14,600"	"23,800"	"23,800"	0.86	1.48	1.48	4.98	4.70	4.70		"13,850"	"25,000"	"25,000"	1.56	2.89	2.89	2.61	2.54	2.54		"11,000"		"19,800"	1.48		2.80	2.17		2.07		83%	79%		N/A				N/A															
